Title,Author,ISBN Valid,Publisher,Subjects,i,Subjects_fine
Educated : a memoir /,Tara Westover,9780525510673; 0525510672,Random House,,12190,
I will find you /,Harlan Coben,1529135516; 9781529135510,Century,life change events fiction; murder fiction; prisoners,12191,escaped prisoners fiction; judicial error fiction; life change events fiction; murder fiction; prisoners fiction
"Oser avec audace : comment le courage d'être vulnérables transforme notre façon de vivre, d'aimer, d'être un parent et un leader /",Brené Brown,9782897932312; 2897932317,DG diffusion; Béliveau éditeur,realisation de soi; vulnerabilite psychologie,12192,realisation de soi; vulnerabilite psychologie
"Activités créatives pour enfants : cuisine, déco, couture, tricotin, papeterie... + leçons et astuces : plus de 120 projets à réaliser au fil des saisons !",,9782848319506; 284831950X,Marie Claire,activites creatrices et manuelles; cuisine; decoration interieure; enfants; guides pratiques; ouvrages pour la jeunesse; tricot,12193,activites creatrices et manuelles; cuisine; decorations de fete; enfants; guides pratiques et mementos; ouvrages pour la jeunesse; papeterie; tricotins
Niki de Saint-Phalle /,Camille Morineau,9782070146611; 2070146618; 9782711862467; 2711862461,Gallimard,saintphalle niki de,12194,saintphalle niki de
Dessiner ses personnages de BD /,Maxime Peroz,9782317030529; 2317030525,Mango,bandes dessinees; dessin de figures humaines,12195,bandes dessinees dessin; bandes dessinees technique; dessin danatomie; dessin de figures humaines
Lire les images de cinéma /,Laurent Jullier,9782035876430; 2035876435,Larousse,analyse de films; guides pratiques,12196,analyse filmique; guides pratiques et mementos
Les secrets du savoir-vivre nippon /,June 19..-.... Fujiwara,9782380153323; 2380153329,Editions de l'Opportun,guides pratiques; savoirvivre sociolinguistique,12197,guides pratiques; savoirvivre japon; wabisabi
Dynamique des communications dans les groupes /,Gilles Amado,9782200619473; 2200619472,A Colin,communication interpersonnelle; communication non verbale; groupes dynamique des; identite collective,12198,communication interpersonnelle; communication non verbale; groupes dynamique des communication; identite collective
Introduction à l'économie /,Jacques Généreux,9782757856680; 2757856685,Éditions du Seuil,economics; economie politique,12199,economics; economie politique
La dimension cachée /,Edward Twitchell Hall,2020047764; 9782020047760,Ed du Seuil,anthropologie culture nature; enquetes de terrain ethnologie; perception spatiale,12200,anthropologie culturelle; homme etre humain perception de lespace; proxemique ethnologie
La plus belle femme du monde : the incredible life of Hedy Lamarr /,William Roy,9782849533000; 2849533009,La boîte à Bulles,,12201,
Le brigand et autres histoires /,Robert Walser,9783726906269; 3726906266,OSL Oeuvre suisse des Lectures pour la Jeunesse,,12202,
Une amie pour la vie /,Laëtitia Bourget,9782364741577; 2364741572,Thierry Magnier,amitie,12203,amitie
Alors que j'essayais d'être quelqu'un de bien /,Ulli Lust,2369902469; 9782369902461,Ed çà et là,bandes dessinees; bandes dessinees humoristiques; guerre mondiale atrocites,12204,acoustique experiences bandes dessinees traductions francaises; bandes dessinees; guerre mondiale atrocites bandes dessinees traductions francaises; nationalsocialisme bandes dessinees traductions francaises
Le minimum théorique : tout ce que vous avez besoin de savoir pour commencer à faire de la physique /,Leonard Susskind,9782889151158; 2889151158,Presses polytechniques et universitaires romandes,,12205,
Nil /,Lynne Matson,9782266316767; 2266316761; 9782266316774; 226631677X; 9782266316781; 2266316788,Pocket jeunesse,roman pour la jeunesse,12206,roman pour la jeunesse
"Justice et criminalité : Vaud, XVe-XXIe siècles /",,9782889010424; 2889010422,SVHA Société vaudoise d'histoire et d'archéologie,20 jahrhundert; droit constitutionnel vaud suisse etudes diverses; kriminologie; proces sorcellerie vevey suisse vd document; rechtsgeschichte; strafverfolgung; suisses; vaud suisse 18e s fin; verbrechen; waadt,12207,15 jahrhundert 21 jahrhundert; bandits et brigands vaud suisse; criminalite vaud suisse 15e s 21e s etudes diverses; justice vaud suisse 15e siecle vingt et unieme siecle; kriminologie; organisation judiciaire vaud suisse 15e s 21e s etudes diverses; rechtsgeschichte; sorcellerie proces vaud suisse; sorcellerie vaud suisse; strafverfolgung; verbrechen; waadt
"De la chrétienté romaine à la Réforme en Dauphiné : évêques, fidèles et déviants (vers 1340 - vers 1530) /",Pierrette Paravy,272830274X; 9782728302741; 2728302960; 9782728302963; 2728302979; 9782728302970,Ecole française de Rome,eglise catholique,12208,eglise catholique dauphine france 14e siecle; eglise catholique dauphine france 15e siecle; eglise catholique dauphine france 16e siecle; eglise catholique romaine dauphine france
Droit international privé suisse /,François Knoepfler,3727223405; 9783727223402,Stämpfli,droit suisse; grundlagenwerk; internationales privatrecht; schweiz,12209,droit international prive suisse manuel; grundlagenwerk; internationales privatrecht; schweiz
Internationales Privat- und Zivilverfahrensrecht /,Anton K. Schnyder,9783725575503; 3725575509,Schulthess,grundlagenwerk; international; internationales privatrecht; schweiz; zivilprozess,12210,grundlagenwerk; international; internationales privatrecht; schweiz; zivilprozess
Le droit européen des successions : commentaire du Règlement (UE) no 650/2012 du 4 juillet 2012 /,Andrea Bonomi,9782802748984; 280274898X,Bruylant,commentaires; droit international; jugements etrangers; jurist; pays de lunion europeenne; successions et heritages; testaments,12211,authentification; commentaires; droit international prive; jugements etrangers droit europeen; juridiction; pays de lunion europeenne; successions et heritages; testaments
Ecrits polémiques /,Louis-Ferdinand Céline,9782921707275; 2921707276,éd Huit,,12212,
Introduction à la littérature fantastique /,Tzvetan Todorov,2020043742; 9782020043748,Ed du Seuil,fantastique litterature,12213,litterature fantastique
"Manuscripts and their makers : commercial books producers in medieval Paris, 1200~1500 : Illiterati et uxorati /",Richard H Rouse,1872501419; 9781872501413,Brepols; H Miller,livre france 15e s 18e s,12214,livre production paris france 13e s 15e s
Jean Pucelle : innovation and collaboration in manuscript painting /,,9781905375462; 1905375468,Harvey Miller Publ,etudes diverses; manuscrits a peintures; ouvrages illustres,12215,etudes diverses; manuscrits a peintures; ouvrages illustres; pucelle jean
La peinture médiévale à Paris : 1300-1500 /,Charles Sterling,2850470023; 9782850470028; 2850471623; 9782850471629,Bibliothèque des Arts,pere france 13e s 20e s,12216,enluminure francaise paris france 14e s 15e s
Répertoire de peintures du Moyen-Age et de la Renaissance (1280-1580) /,Salomon Reinach,,E Leroux,peinture,12217,peinture europeenne repertoire
Marie Velardi /,Karine Tissot,9782884748421; 2884748423,Infolio,,12218,
The mushroom at the end of the world : on the possibility of life in capitalist ruins /,Anna Lowenhaupt Tsing,9780691162751; 0691162751; 9780691178325; 0691178321,Princeton University Press,capitalisme; capitalisme aspect environnemental; developpement economique aspect environnemental; ecologie humaine; economic development; environmental degradation; handelsrecht; human ecology; japan; okologie; pollution; recherche,12219,allmende; capitalisme aspect environnemental; developpement economique aspect environnemental; ecologie humaine; economic development environmental aspects; environmental degradation; handel; human ecology; humanokologie; japan; kapitalismus; oregon; pollution; speisepilze; suche; yunnan
Histoire de l'électricité en Suisse : la dynamique d'un petit pays européen 1875-1939 /,Serge Paquier,2940014159; 9782940014156,Passé Présent,electricite,12220,electricite suisse
Il codice Ambrosiano B 9 inf. e le lettere di Jacopo Corbinelli a Gian Vincenzo Pinelli : interessi eruditi e storici tra e Francia (1566-1578) /,Maria Grazia Bianchi,,éditeur non identifié,correspondance; theses et ecrits academiques,12221,corbinelli jacopo; correspondance; pinelli gian vincenzo; theses et ecrits academiques
Nimona /,N.D. Stevenson,9782205083910; 2205083910,Dargaud,bandes dessinees,12222,bandes dessinees
Anti-impérialisme et nouvelle gauche radicale dans la Suisse des années 68 /,Nuno Miguel Pereira,,éditeur non identifié,annees; extreme gauche; imperialisme; suisse; theses et ecrits academiques,12223,annees; antiimperialisme; extreme gauche; suisse; theses et ecrits academiques
Lux perpetua /,Franz Cumont,,Impr Chabloz; P Geuthner,antiquite; rites et ceremonies funeraires,12224,audela antiquite; funerailles antiquite
Le sens de la création : un essai de justification de l'homme /,Nikolaĭ Aleksandrovich Berdi︠a︡ev,,Desclée de Brouwer,philosophie de lhomme,12225,creation theologie homme etre humain
"L'écrit universitaire en pratique : applications et exercices autocorrectifs, rédaction d'un mémoire, présentation PowerPoint /",Georgeta Cislaru,9782807328679; 2807328679,De Boeck supérieur,academic dissertation; art decrire; guides pratiques; microsoft excel logiciel; practice guideline; theses et ecrits academiques; travail intellectuel methodologie; writing standards,12226,academic dissertations as topic; art decrire; guides pratiques; microsoft powerpoint logiciel; practice guideline; theses et ecrits academiques; travail intellectuel methodologie; writing standards
Enquêter dans les métiers de l'humain : traité de méthodologie de la recherche en Sciences de l'éducation et de la formation /,,9782917645932; 2917645938; 9782917645949; 2917645946; 9782917645956; 2917645954,Raison et Passions,recherche; recherche documentaire; recherche sur le terrain; rechercheaction,12227,education recherche; recherche documentaire; recherche sur le terrain methode denseignement; rechercheaction en education
Histoire de la régulation des banques en Suisse (1914-1972) /,Thibaud Giddey,9782600059374; 2600059377,Libr Droz,banques suisse 20e siecle; suisse autorite federale de surveillance des marches financiers,12228,banques reglementation suisse 20e siecle; crises financieres suisse 20e siecle; suisse autorite federale de surveillance des marches financiers
Quiet politics and business power : corporate control in Europe and Japan /,Pepper D. Culpepper,9780521118590; 052111859X; 9780521134132; 0521134137,Cambridge University Press,21e siecle debut; allemagne; economie dentreprise; france; gestion dentreprise; groupes de pression; japon; offres publiques dachat; paysbas; politique et gouvernement; societes commerciales,12229,21e siecle debut; affaires et politique; allemagne; citoyen entreprise controle organe de controle allemagne 21e s debut; citoyen entreprise controle organe de controle france 21e s debut; citoyen entreprise controle organe de controle japon 21e s debut; citoyen entreprise controle organe de controle paysbas 21e s debut; controle de letat; corporate governance europe; corporate governance japan; france; gestion dentreprise; gouvernement dentreprise; groupes de pression; japon; offres publiques dachat; paysbas; societes commerciales
La ceramica a figure rosse della Magna Grecia e della Sicilia /,,9788882656201; 8882656209,"""L'ERMA"" di Bretschneider",ceramique; femme grece antique,12230,ceramique grecque antique style a figures rouges grande grece italie; ceramique grecque antique style a figures rouges sicile italie; ceramique italiote sicilienne style a figures rouges; ceramique italiote style a figures rouges
Communication progressive du français : avancé : avec 525 excercices : [B2-C1] /,Claire Leroy-Miquel,9782090382112; 2090382112,CLE International; Paris,francais langue; francais parle; manuels pour allophones,12231,francais langue; francais parle; manuels pour allophones
Dieu ? : le philosophe & le rabbin /,Michel.... Onfray,9782382922248; 2382922249,Bouquins Editions,antisemitisme; dadaisme; dieu; entretiens; philosophie et religion; religion,12232,antisemitisme; dieu; entretiens; judaisme; philosophie et religion; religion
Frida Kahlo : je peins ma réalité /,Christina Burrus,9782070345939; 2070345939,Gallimard,kahlo frida,12233,kahlo frida; kahlo frida iconographie
Oeuvres complètes /,Benjamin Péret,,puis Libr J Corti; E Losfeld,,12234,
"Rome, la fin d'un Empire : de Caracalla à Théodoric : 212-fin du Ve siècle /",,2701164974; 9782701164977,Belin,antiquite; civilisation; rome 3e6e siecle grandes invasions,12235,antiquite tardive; civilisation rome; rome 3e6e siecle grandes invasions
Poemes = Carmina /,Caius Valerius Catullus,9782251240060; 2251240063,Les Belles Lettres,critique et interpretation; early works; empire romain; poetique,12236,catulle carmina; catulle carmina commentaires; catulle carmina critique et interpretation; early works; lyric poetry; poetry; rome empire; rome poetry early works to
Peut-on manager la justice? = Kann man die Justiz managen? = Can we manage the judiciary? /,Yves Emery,9783727276729; 372727672X; 9783848729715; 3848729717; 9783709700914; 3709700914,Stämpfli,betriebsleitung; etudes diverses; gestion; judikative; juges; justice; regierungs und verwaltungsreform; richterliche behorde; schweiz; suisse; tribunaux administratifs,12237,betriebsleitung; etudes diverses; gestion; judikative; juges; justice; regierungs und verwaltungsreform; richterliche behorde; schweiz; suisse; tribunaux
Procédure pénale suisse : approche théorique et mise en oeuvre cantonale /,,9783725561889; 3725561885,CEMAJ - Faculté de droit de l'Université de Neuchâtel,schweiz; strafprozess; suisse tribunal federal,12238,avocat contrainte droit cantonal droit federal application droit transitoire instruction procedure premiere instance preuve droit procedure penale revision procedure sommaire recours droit penal neuchatel suisse canton suisse; schweiz; strafprozess
Unternehmensstrafrecht : materiellrechtliche und prozessuale Aspekte /,,9783719041809; 3719041808,Nomos Verlag; Helbing Lichtenhahn Verlag,actes de congres; allemagne; autriche; deutschland; droit compare; droit penal; entreprises; juristische person; osterreich; personnes morales; procedure penale; rechtsvergleichung; responsabilite droit; responsabilite penale; schweiz; societes; suisse; verantwortlichkeit des unternehmens; zurechnungsfahigkeit,12239,actes de congres; allemagne; autriche; deutschland; droit compare; droit penal; entreprises; juristische person; osterreich; personnes morales; procedure penale; rechtsvergleichung; responsabilite droit; responsabilite penale; schweiz; societes; suisse; verantwortlichkeit des unternehmens; zurechnungsfahigkeit
"Enquêtes de police : manuel rédigé par l'Association des chefs de police judiciaire suisses, traitant les investigations policières selon le code de procédure pénale suisse /",,9783725557523; 3725557527,Schulthess,enquetes criminelles; grundlagenwerk; lehrmittel; polizei; schweiz; societe anonyme droit suisse manuel; strafuntersuchung,12240,enquete criminelle police procedure penale suisse manuel; enquete police procedure penale suisse manuel; grundlagenwerk; lehrmittel; polizei; schweiz; strafuntersuchung
"Droit des mesures policières : principes généraux, cadre juridique et coopération policière /",Marc.... Rémy,9783725555529; 3725555524,Schulthess,anhorung oder verhor; beschlagnahme; beteiligung oder zusammenarbeit; droit suisse; gesetzmassigkeit; interkantonal; international; name; polizei; preisuberwachung; rechtshilfe in strafsachen; schutzmassnahme; schweiz; untersuchungshaft; verhaltnismassigkeit; vertragsklausel,12241,angemessenheit; anhorung oder verhor; beschlagnahme; beteiligung oder zusammenarbeit; citoyen droits fondamentaux police suisse romande; europol; festnahme; gesetzmassigkeit; hausdurchsuchung; interkantonal; international; interpol; korrespondenzuberwachung; leibesvisitation; name; organisation structure police droit suisse romande; police droit suisse romande; polizei; polizeiliche generalklausel; polizeilicher grund; rechtshilfe in strafsachen; schengenbesitzstand; schutzmassnahme; schweiz; untersuchungshaft; verhaltnismassigkeit
Schweizerisches Strafprozessrecht /,Mark.... Pieth,3719044386; 9783719044381,Helbing Lichtenhahn,bundesrecht; grundlagenwerk; schweiz; strafprozess,12242,bundesrecht; grundlagenwerk; schweiz; strafprozess
"Paradise, Nevada : (ce ne sont pas les gagnants qui ont bâti cette ville) : roman /",Dario.... Diofebi,9782226471178; 2226471170,Albin Michel,,12243,
La cité des rêves /,Don Winslow,9791033913832,HarperCollins,thriller roman,12244,thriller roman
L'histoire de la Suisse : pour les nuls /,Georges Andrey,9782412057582; 2412057583,First éditions,suisse histoire,12245,suisse histoire
Fantômes : roman /,Fatma... Aydemir,9782715261808; 2715261802,Mercure de France,,12246,
"Les sources orales et l'histoire : récits de vie, entretiens, témoignages oraux /",,2749505771; 9782749505770,Bréal éd,histoire discipline etude et enseignement,12247,archives orales histoire discipline etudes diverses; histoire discipline histoire orale etudes diverses
L'impossible prison : recherches sur le système pénitentiaire au XIXe siècle /,,2020055457; 9782020055451,Ed du Seuil,prison 18e s,12248,etablissement penitentiaire france 19e s etudes diverses
Les ombres de l'histoire : crime et châtiment au XIXe siècle /,,2080679147; 9782080679147,Flammarion,prison 18e s; roman francais 19e siecle,12249,criminalite france 19e s; prison france 19e s
Vers la paix perpétuelle ; Que signifie s'orienter dans la pensée? ; Qu'est-ce que les Lumières? : et autres textes /,Immanuel Kant,9782080713032; 2080713035,Impr Maury Eurolivres; Flammarion,critique; mouvement des lumieres; philosophie antique; philosophie politique,12250,criticisme; mouvement des lumieres; philosophie 18e siecle; philosophie de la paix
L'existentialisme est un humanisme /,Jean-Paul Sartre,9782070329137; 2070329135,Gallimard,philosophie,12251,philosophie
Candide ou l'optimisme : conte philosophique /,Voltaire,9782035866011; 2035866014,Larousse,contes litteraires; roman pour la jeunesse; voltaire candide,12252,contes litteraires; optimisme; roman pour la jeunesse; voltaire candide
Former contre les inégalités : pratiques et recommandations pour la formation des enseignant.e.s /,,9782889305506; 2889305503,Alphil,democratisation de lenseignement; enseignants formation; inegalite sociale; sociologie de leducation,12253,democratisation de lenseignement; enseignants formation; inegalite sociale; sociologie de leducation
Les mouvements littéraires : parcours de l'humanisme au Nouveau Roman /,Romain Berry,9782340033788; 2340033780,Ellipses,16e siecle; 19e siecle20e siecle; dadaisme; humanisme; liberte; litterature; litterature francaise; mouvement des lumieres; mouvements litteraires france; nouveau roman; ouvrages de reference; romantisme; surrealisme litterature,12254,16e siecle20e siecle; absurde philosophie dans la litterature; classicisme litterature; dadaisme; humanisme; libertinage; litterature baroque; litterature francaise; mouvement des lumieres; mouvements litteraires; naturalisme mouvement litteraire; nouveau roman; ouvrages de reference; parnasse mouvement litteraire; pleiade 16e siecle; realisme litterature; romantisme litterature; surrealisme litterature; symbolisme mouvement litteraire
Prozessieren vor dem Bundesverwaltungsgericht /,,9783719044503; 3719044505,Helbing Lichtenhahn,bundesverwaltungsgericht; grundlagenwerk; manuels denseignement superieur; procedure administrative; rechtsmittel; richterliche behorde; schweiz; suisse; suisse tribunal federal; tribunaux administratifs,12255,bundesverwaltungsgericht; grundlagenwerk; manuels denseignement superieur; procedure administrative; rechtsmittel; richterliche behorde; schweiz; suisse; suisse tribunal administratif federal; tribunaux administratifs
VwVG : Kommentar : Bundesgesetz über das Verwaltungsverfahren mit weiteren Erlassen /,René Wiederkehr,3280074363; 9783280074367,Orell Füssli Verlag,bundesgesetz uber das verwaltungsverfahren; kommentarwerk; schweiz; schweiz versicherungsvertragsgesetz; textreproduktion; verwaltungs und verwaltungsgerichtsverfahren,12256,bundesgesetz uber das verwaltungsverfahren; kommentarwerk; schweiz; schweiz verwaltungsverfahrensgesetz; textreproduktion; verwaltungs und verwaltungsgerichtsverfahren; verwaltungsverfahrensrecht
VwVG : Bundesgesetz über das Verwaltungsverfahren : Kommentar /,,9783038910084; 3038910082,Dike,bundesgesetz uber das verwaltungsverfahren; bundesrecht; kommentarwerk; schweiz; textreproduktion; verwaltungs und verwaltungsgerichtsverfahren,12257,bundesgesetz uber das verwaltungsverfahren; bundesrecht; kommentarwerk; schweiz; textreproduktion; verwaltungs und verwaltungsgerichtsverfahren
"L'arbitrage en droit public suisse : une comparaison avec la France, les Etats-Unis et l'arbitrage d'investissement /",Eleanor McGregor,9783725585557; 3725585555,Schulthess,anlageinvestition; arbitrage international; droit public; etatsunis; france; frankreich; investissements; offentliches recht; rechtsvergleichung; schiedsgerichtsbarkeit; schweiz; suisse; theses et ecrits academiques; usa,12258,anlageinvestition; arbitrage droit; droit public; etatsunis; france; frankreich; internationaler investitionsschutz; investissements; offentliches recht; rechtsvergleichung; schiedsgerichtsbarkeit; schweiz; suisse; theses et ecrits academiques; usa
"Arbitrage, médiation et autres modes pour résoudre les conflits autrement /",,9783725587049; 3725587043,Schulthess,alternative dispute resolution; mediationregelung eines konflikts; schiedsgerichtsbarkeit; schweiz,12259,alternative dispute resolution; mediationregelung eines konflikts; schiedsgerichtsbarkeit; schweiz
"Le partage du contentieux administratif entre le juge civil et le juge administratif : étude de droit vaudois, historique et comparée /",Thibault Blanchard,,Bis et Ter,bundesverwaltungsgericht; kantonales recht; ortliche zustandigkeit; rechtsgeschichte; schweiz; suisse tribunal federal; verhaltnis zwischen; verwaltungs und verwaltungsgerichtsverfahren; waadt; zivilgericht,12260,juridiction administrative juridiction civile procedure administrative suisse vaud suisse; kantonales recht; kompetenzkonflikt; rechtsgeschichte; schweiz; verhaltnis zwischen; verwaltungs und verwaltungsgerichtsverfahren; verwaltungsgericht; waadt; zivilgericht; zustandigkeit
Regierungs- und Verwaltungsorganisationsgesetz RVOG : vom 21. März 1997 /,Thomas Sägesser,3727269790; 9783727269790,Stämpfli Verlag,bundesrecht; kommentarwerk; regierungs und verwaltungsreform; schweiz; staatsorganisation und verwaltung; textreproduktion,12261,bundesrecht; kommentarwerk; regierungs und verwaltungsorganisationsgesetz; regierungs und verwaltungsreform; schweiz; staatsorganisation und verwaltung; textreproduktion
Le droit d'auteur : un contrôle de l'accès aux oeuvres? = Copyright : a right to control access to works? /,,2802714600; 9782802714606,Bruylant; Facultés universitaires Notre-Dame de la Paix,,12262,
Les prisons vaudoises : (1798-1871) /,Henri Anselmier,,Bibliothèque historique vaudoise,20 jahrhundert; rechtsgeschichte; schweiz; straf und massnahmenvollzug; strafanstalt; vaud suisse; waadt,12263,18 jahrhundert; 19 jahrhundert; prison vaud suisse; rechtsgeschichte; schweiz; straf und massnahmenvollzug; strafanstalt; waadt
Alfred Escher : un fondateur de la Suisse moderne /,Joseph Jung,9782880749729; 2880749727,IRL plus; Presses polytechniques et universitaires romandes,biographie,12264,biographies; escher alfred
Vers une gestion éducative de la classe /,"Jean, Pédagogue Archambault",2891056159; 9782891056151,Gaëtan Morin Éditeur,classe enseignement gestion psychopedagogie,12265,classe enseignement gestion psychopedagogie
"L'autorité à l'école, mode d'emploi /",Martine Boncourt,9782710125358; 2710125358,ESF éditeur,autorite; discipline scolaire; relations maitreeleve,12266,autorite; discipline scolaire; relations maitreeleve
Maroc,,9782017060864; 2017060860,Hachette,guides touristiques et de visite,12267,maroc guides touristiques et de visite
"Sous la mer : lecture, logique, inférence : 3e cycle /",Nancy Gagné,,Passe-Temps date de publication non identifiée,jeux educatifs; lecture etude et enseignement; mathematiques; problemes et exercices,12268,jeux educatifs; jeux mathematiques; lecture etude et enseignement; problemes et exercices
Santé LGBT : les minorités de genre et de sexualité face aux soins /,,9782356876997; 2356876995,Le Bord de l'eau,minorites sexuelles; sexual and gender minorities; sexual health,12269,minorites sexuelles sante; sexual minorities; sexual minorities health and hygiene; sexual minorities medical care; sexual minorities social history
"Mon enfant est autiste : un guide pour parents, enseignants et soignants /",Peter Vermeulen,9782807326828; 280732682X,De Boeck Supérieur,autisme infantile; enfants autistes; parents et enfants,12270,adolescents autistes soins; autisme infantile; enfants autistes soins; parents et enfants
Le calcul de doses sans erreur : pour une pratique aisée et sûre /,Nicole Jeanguiot,,Estem,processus de soins infirmiers manuel,12271,calcul de dose soins infirmiers manuel
Animer en humanitude : l'animation dans les établissements d'accueil des personnes fragilisées /,Philippe Crône,9782294771408; 2294771400,Elsevier Masson,animateurs socioculturels; animation socioculturelle; etablissements dhebergement pour personnes agees dependantes; groupes dynamique des; personnes agees protection assistance etc; relations humaines,12272,animateurs socioculturels; animation sociale; equipements sanitaires; etablissements dhebergement pour personnes agees dependantes; groupes dynamique des; personnes agees protection assistance etc; relations humaines
110 fiches d'animation pour les personnes âgées /,Evelyne Allègre,9782294763656; 2294763653,Elsevier Masson,personnes agees vieillesse,12273,animation sociale chez la personne agee
Plan d'études romand : cycle 1 /,,9782885002621; 288500262X,CIIP,enseignement primaire programme detudes suisse romande; programme detudes scolarite obligatoire suisse romande,12274,education prescolaire programme detudes suisse romande; enseignement primaire programme detudes suisse romande; programme detudes scolarite obligatoire suisse romande
Le Petit Robert des noms propres : dictionnaire illustré : 40 000 noms propres /,,9782849026212; 2849026212,Le Robert,nom propre dictionnaire,12275,nom propre dictionnaire
Collection de concepts-clés de la formation des enseignantes et enseignants en Suisse romande et au Tessin /,,9782606019440; 260601944X,Loisirs et pédagogie,enseignement primaire programme detudes suisse romande; ticino suisse canton,12276,enseignants formation suisse romande; enseignants formation ticino suisse canton
Les aventures de Nage-Vite et Plonge-Bien : la Grande Ourse /,Jacques Duquennoy,2226112103; 9782226112101,Albin Michel Jeunesse,,12277,
Manuel de politique sociale /,,9782882840585; 2882840586; 9782881461422; 2881461425,Ed Réalités sociales; Ed EESP,systeme politique suisse etudes diverses,12278,politique sociale suisse etudes diverses
L'art pariétal : langage de la préhistoire /,André Leroi-Gourhan,2905614714; 9782905614711,J Millon,peinture,12279,art rupestre; peinture prehistoire
Jardins de rêve /,Claire Takacs,9782603030363; 2603030361,Delachaux et Niestlé,,12280,
L'esprit des Lumières /,Tzvetan Todorov,9782253083931; 2253083933,Robert Laffont,etudes diverses; mouvement des lumieres,12281,etudes diverses; mouvement des lumieres
Apologie de Socrate ; Criton /,ca. 427- ca. 348 av. J.-C Plato,2080708481; 9782080708489,Flammarion,,12282,
"Dialog = dialog = ""dialogue"" : guide des premières conversations en russe : A1/A2 /",Irina Roudina,9782340069343; 2340069343,Ellipses,manuels pour locuteurs du francais; russe langue,12283,manuels pour locuteurs du francais; russe langue
Tochka Ru : Russian course,Olia Dolmatova,5990898304; 9785990898301,Bi͡uler OA,problems and exercises; russe langue; vocabulaires et manuels de conversation,12284,problems and exercises; russe langue manuels pour anglophones; russian language; russian language problems exercises etc; russian language textbooks for foreign speakers english; textbooks for english speakers; vocabulaires et manuels de conversation russes
"Hommes et femmes au Moyen Âge : histoire du genre, XIIe-XVe siècle /",Didier Lett,9782200248277; 220024827X,A Colin,16e siecle18e siecle; europe; identite sexuelle; manuels denseignement superieur; moyen age; relations hommesfemmes; role selon le sexe,12285,12e siecle15e siecle; europe; identite sexuelle; manuels denseignement superieur; moyen age; relations hommesfemmes; role selon le sexe
Les cinq sexes : pourquoi mâle et femelle ne suffisent pas /,Anne Fausto-Sterling,9782228908856; 2228908851,Payot & Rivages,differenciation sexuelle; genetique; sexualite biologie,12286,determination genetique du sexe; differenciation sexuelle; hermaphrodisme; sexualite biologie
"Vieille peau : les femmes, leur corps, leur âge /",Fiona Schmidt,9782714497406; 2714497403,Belfond,femmes dage moyen; image du corps chez la femme; vieillesse,12287,femmes dage moyen; image du corps chez la femme; vieillesse sociologie
Psychologie des apprentissages scolaires /,,9782804136857; 280413685X,De Boeck,apprentissage psychologie ecole eleve motivation; psychologie de leducation,12288,apprentissage psychologie eleve enseignement primaire psychologie etudes diverses; apprentissage psychologie psychologie de leducation manuel
Un monde en fêtes : 1-2P éthique et cultures religieuses : dossier /,,9782940318964; 2940318964; 9782940318957; 2940318956,Ed Agora,religion; vie religieuse,12289,calendrier religieux; fetes religieuses; religions
Un monde en couleurs : collection à la découverte des religions /,,2940318174; 9782940318179; 2940318190; 9782940318193; 9782940318254; 2940318255; 2940318271; 9782940318278; 9782940318261; 2940318263,ENBIRO,education religieuse enseignement primaire; religion,12290,education religieuse enseignement primaire religion; religion manuel
Un monde en couleurs : portfolio : cycle 1 - 3e année,,9782940645107; 2940645108,Association Editions Agora,education religieuse enseignement primaire; manuels denseignement; religion,12291,education religieuse enseignement primaire; manuels denseignement; religion
"Un monde en couleurs : brochure de l'élève, volume 1 : cycle 1 - 3e /",Yves Dutoit,9782940645084; 2940645086,Association Editions Agora,education religieuse enseignement primaire; manuels denseignement; religion,12292,education religieuse enseignement primaire; manuels denseignement; religion
"Un monde en couleurs : brochure de l'élève, volume 2 : cycle 1 - 4e /",Yves Dutoit,9782940645206; 2940645205; 9782940645251; 2940645256,Editions Agora,education religieuse enseignement primaire; manuels denseignement,12293,education religieuse enseignement primaire; manuels denseignement
Oeuvres complètes /,Pierre Reverdy,9782081222007; 2081222000; 9782081222014; 2081222019,Flammarion,,12294,
Harry Potter à l'école des sorciers /,J.K. Rowling,9782070541270; 2070541274,Gallimard,,12295,
L'enfant en Valais 1815-2015 : annales valaisannes 2016 /,,,Société d'histoire du Valais romand,,12296,
La violence et le sacré /,René essayiste Girard,9782818502068; 2818502063,Fayard/Pluriel,anthropologie appliquee; violence,12297,bouc emissaire victimologie; sacre sentiment religieux violence; victimisation anthropologie; violence religion
Les fleurs du mal : édition de 1861 /,Charles Baudelaire,9782070466658; 2070466655,Gallimard,,12298,
"The gardens of Pompeii, Herculaneum and the villas destroyed by Vesuvius /",Wilhelmina Mary Feemster Jashemski,0892410965; 9780892410965; 0892411252; 9780892411252,Caratzas Brothers,antiquites romaines; pompei italie,12299,jardin romain antique archeologie herculanum italie; jardin romain antique archeologie pompei italie
Domestic space in the Roman world : Pompeii and beyond /,,1887829229; 9781887829229,JRA Journal of Roman Archaeology,pompei italie,12300,espace prive pompei italie congres; espace prive rome congres; maison romaine antique pompei italie congres
La relation d'aide et la psychothérapie /,"Carl R. (Carl Ransom), Rogers",9782710121176; 2710121174,ESF Ed,psychotherapie,12301,psychotherapie relation daide
